META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 00:22:25 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; ; 11/10; ; 11/10; ; ; ; 19/10; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 5/6; ; 
Man Utd; ; 9/4; ; 11/5; ; ; ; 13/10; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
Draw; ; 12/5; ; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; english/fa-cup/chelsea-v-man-utd; 2017-02-20 04:22:51 GMT+2; 2017-03-11 15:00; e70300-dr003
Chelsea; 11/10; 11/10; ; 11/10; ; ; 11/10; 19/10; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; ; 5/6; ; 
Draw; 13/5; 12/5; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 49/20; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 18/5; 15/4; 7/2; 18/5; 7/2; 7/2; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 31/10; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 01:46:31 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 5/6; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 49/20; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 7/2; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 31/10; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 03:46:39 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 04:23:34 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 05:46:56 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 06:30:06 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; ; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; ; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; ; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 07:46:27 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 08:24:08 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 09:46:28 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 7/2; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 10/3; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 11:46:31 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 15/4; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 12:23:16 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 10/11; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 15/4; 7/2; 7/2; 57/17; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 12:53:19 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 15/4; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 13:46:29 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 10/11; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 10/3; 15/4; 7/2; 7/2; 15/4; 7/2; 7/2; 38/11; 7/2; 7/2; 38/11; 73/20; 17/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 15:47:04 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 17/20; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 8/9; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 17/5; 18/5; 7/2; 7/2; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 73/20; 38/11; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 16:23:20 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 9/10; 17/20; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 8/9; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 15/4; 18/5; 7/2; 7/2; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 73/20; 38/11; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 17:46:59 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 9/10; 9/10; 17/20; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 13/15; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 15/4; 10/3; 7/2; 15/4; 15/4; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 73/20; 18/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 18:27:40 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 10/11; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 9/10; 9/10; 5/6; 10/11; 9/10; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 13/15; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 10/3; 15/4; 7/2; 18/5; 7/2; 15/4; 18/5; 7/2; 15/4; 4; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 73/20; 18/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 19:46:06 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 17/20; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 9/10; 9/10; 5/6; 10/11; 17/20; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 13/15; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 51/20; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 19/5; 15/4; 7/2; 18/5; 7/2; 15/4; 18/5; 7/2; 15/4; 4; 7/2; 15/4; 18/5; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 18/5; 39/11; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 20:25:04 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 10/11; 17/20; 17/20; 17/20; 9/10; 17/20; 20/23; 5/6; 9/10; 9/10; 5/6; 10/11; 17/20; 10/11; 10/11; 10/11; 13/15; 13/15; 5/6; 13/15; 10/11; 13/15; 8/9; 10/11; ; 5/6; 5/6; 10/11
Draw; 5/2; 23/10; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 51/20; 27/11; 27/11; 5/2; ; 12/5; 12/5; 5/2
Man Utd; 15/4; 19/5; 19/5; 7/2; 18/5; 7/2; 15/4; 18/5; 7/2; 15/4; 4; 7/2; 15/4; 18/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 18/5; 17/5; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 21:45:57 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 17/20; 17/20; 17/20; 17/20; 17/20; 17/20; 17/20; 5/6; 9/10; 9/10; 5/6; 10/11; 17/20; 10/11; 10/11; 11/13; 13/15; 13/15; 5/6; 13/15; 22/25; 13/15; 8/9; 17/20; ; 5/6; 5/6; 10/11
Draw; 13/5; 23/10; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 51/20; 27/11; 27/11; 5/2; ; 5/2; 12/5; 5/2
Man Utd; 15/4; 19/5; 4; 7/2; 19/5; 7/2; 4; 18/5; 7/2; 15/4; 4; 7/2; 15/4; 18/5; 7/2; 7/2; 39/11; 7/2; 7/2; 39/11; 15/4; 39/11; 7/2; 7/2; ; 7/2; 7/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-12 23:45:25 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 4/5; 3/4; 8/11; 4/5; 4/5; 3/4; 4/5; 4/5; 5/6; 3/4; 4/5; 10/13; 3/4; 4/5; 4/5; 10/13; 13/18; 4/5; 10/13; 41/50; 4/5; 4/5; 4/5; ; 8/11; 8/11; 10/11
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 27/10; 13/5; 12/5; 5/2; 12/5; 13/5; 23/10; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 27/11; 28/11; 13/5; ; 5/2; 5/2; 5/2
Man Utd; 17/4; 4; 9/2; 4; 4; 18/5; 22/5; 4; 4; 4; 17/4; 9/2; 17/4; 9/2; 17/4; 39/10; 4; 17/4; 7/2; 4; 21/5; 41/10; 39/10; 4; ; 21/5; 4; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 00:22:40 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 4/5; 3/4; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; 4/5; 3/4; 3/4; 4/5; 10/13; 3/4; 3/4; 4/5; 10/13; 13/18; 4/5; 10/13; 79/100; 7/9; 4/5; 4/5; ; 8/11; 8/11; 10/11
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5; 23/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 131/50; 5/2; 28/11; 13/5; ; 5/2; 5/2; 5/2
Man Utd; 17/4; 4; 9/2; 4; 4; 19/5; 22/5; 4; 4; 17/4; 17/4; 9/2; 17/4; 9/2; 9/2; 39/10; 77/19; 17/4; 7/2; 77/19; 22/5; 54/13; 39/10; 4; ; 9/2; 22/5; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 00:45:47 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 4/5; 3/4; 8/11; 3/4; 8/11; 14/19; 13/18; 4/5; 5/7; 79/100; ; 4/5; 3/4; ; 4/6; 8/11; 10/11
Draw; 13/5; 5/2; 13/5; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5; 23/10; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 5/2; 5/2; 131/50; ; 28/11; 13/5; ; 5/2; 5/2; 5/2
Man Utd; 19/4; 4; 19/4; 4; 9/2; 19/5; 22/5; 4; 17/4; 17/4; 17/4; 9/2; 17/4; 24/5; 9/2; 39/10; 21/5; 17/4; 7/2; 43/10; 22/5; ; 39/10; 17/4; ; 23/5; 21/5; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 01:45:10 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 3/4; 3/4; 13/18; 3/4; ; 4/6; 8/11; 10/11
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 27/10; 5/2; 5/2; 5/2; 5/2; 133/50; 28/11; 28/11; 13/5; ; 13/5; 13/5; 5/2
Man Utd; 19/4; 4; 19/4; 4; 9/2; 19/5; 22/5; 4; 17/4; 17/4; 17/4; 9/2; 17/4; 24/5; 9/2; 39/10; 22/5; 9/2; 23/5; 22/5; 47/10; 43/10; 23/5; 17/4; ; 23/5; 23/5; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 03:45:15 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 3/4; 14/19; 13/18; 3/4; ; 8/11; 8/11; 10/11
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 27/10; 28/11; 5/2; 5/2; 28/11; 133/50; 28/11; 28/11; 13/5; ; 5/2; 5/2; 5/2
Man Utd; 19/4; 4; 19/4; 4; 9/2; 19/5; 9/2; 4; 17/4; 17/4; 17/4; 9/2; 9/2; 24/5; 9/2; 39/10; 49/11; 9/2; 23/5; 49/11; 47/10; 22/5; 23/5; 17/4; ; 9/2; 22/5; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 04:22:11 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 3/4; 14/19; 13/18; 3/4; ; 8/11; 8/11; 10/11
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 27/10; 28/11; 5/2; 5/2; 28/11; 133/50; 28/11; 28/11; 13/5; ; 5/2; 5/2; 5/2
Man Utd; 19/4; 4; 19/4; 4; 9/2; 19/5; 9/2; 4; 17/4; 17/4; 17/4; 9/2; 9/2; 24/5; 9/2; 39/10; 49/11; 9/2; 23/5; 49/11; 47/10; 22/5; 23/5; 17/4; ; 9/2; 9/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 05:45:08 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 3/4; 3/4; 5/7; 3/4; ; 8/11; 8/11; 10/11
Draw; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 27/10; 5/2; 5/2; 5/2; 5/2; 133/50; 28/11; 28/11; 13/5; ; 5/2; 5/2; 5/2
Man Utd; 19/4; 4; 19/4; 4; 9/2; 4; 9/2; 4; 17/4; 17/4; 17/4; 9/2; 9/2; 24/5; 9/2; 39/10; 9/2; 9/2; 23/5; 9/2; 47/10; 43/10; 19/4; 17/4; ; 9/2; 9/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 06:32:40 GMT+2; 2017-03-13 19:45; e70300-dr003
Chelsea; 3/4; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 5/7; 13/18; 4/6; 5/7; 3/4; 3/4; 5/7; 3/4; ; 8/11; 8/11; 10/11
Draw; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 5/2; 13/5; 27/10; 5/2; 5/2; 5/2; 5/2; 133/50; 28/11; 28/11; 13/5; ; 5/2; 5/2; 5/2
Man Utd; 19/4; 4; 19/4; 4; 9/2; 4; 9/2; 4; 17/4; 17/4; 17/4; 9/2; 9/2; 24/5; 9/2; 39/10; 9/2; 9/2; 23/5; 9/2; 47/10; 43/10; 19/4; 17/4; ; 9/2; 9/2; 7/2
META; english/fa-cup/chelsea-v-man-utd; 2017-03-13 07:45:14 GMT+2; 2017-03-13 19:45; e70300-dr003
