META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-12 20:19:38 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 00:18:37 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; 4/6; ; 5/6; 3/4; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; 13/5; ; 45/17; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; 29/10; 4; ; 29/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 04:18:18 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 08:18:27 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 4/5; 4/6; ; 4/5; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 13/5; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 13/4; 4; ; 13/4; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 12:19:10 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 10/13; 3/4; ; 10/13; 3/4; ; ; ; ; ; ; 
Draw; 5/2; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; 13/5; 28/11; 5/2; ; 28/11; 57/20; ; ; ; ; ; ; 
Deportivo La Coruna; 15/4; ; 3; ; ; ; 15/4; ; ; ; ; ; ; ; ; 4; 33/10; 15/4; ; 33/10; 22/5; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-03-13 16:21:09 GMT+2; 2017-04-02 16:30; e70300-dr003
Valencia; 3/4; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; 4/5; 14/19; 3/4; ; 14/19; 3/4; 6/7; ; ; ; ; ; ; 
Sandro Wagner; 500; ; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; 500; ; 500; ; ; ; 
Andrej Kramaric; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; ; 
Borja Mayoral; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Claudio Pizarro; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; ; 
Florian Niederlechner; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Franco Di Santo; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Jhon Cordoba; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Kevin Volland; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Kingsley Coman; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Klass Jan Huntelaar; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Marco Reus; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Mario Gomez; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Max Kruse; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Nils Petersen; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Pablo De Blasis; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Pierre Michel Lasogga; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Rafael De Araujo; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Salomon Kalou; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Stefan Kiessling; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Thomas Muller; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Yoshinori Muto; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Yunus Malli; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; ; 
Yussuf Poulsen; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
de Souza Douglas Costa; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Alfred Finnbogason; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Breel Embolo; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Nicolai Muller; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Moritz Hartmann; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-01 12:21:00 GMT+3; 2017-03-30 00:00; e70300-dr003
Velo Clube SP; 7/5; ; ; ; ; ; ; ; ; ; 29/20; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; 
Uniao Barbarense; 8/5; ; ; ; ; ; ; ; ; ; 33/20; ; 33/20; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 11/5; ; ; ; ; ; ; ; ; ; 2; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-01 12:33:37 GMT+3; 2017-04-01 15:00; e70300-dr003
Portsmouth; 8/15; 8/15; 1/2; 1/2; 4/7; 12/25; 8/15; 4/9; 8/15; 8/15; ; 8/15; 1/2; 8/15; 11/20; 8/15; 1/2; 8/15; 8/15; 1/2; 11/20; 17/35; 8/15; 8/15; 8/15; ; 8/15; 8/15; 8/15
Draw; 3; 3; 14/5; 11/4; 3; 14/5; 3; 14/5; 3; 3; ; 3; 59/20; 29/10; 3; 3; 56/19; 29/10; 14/5; 56/19; 31/10; 3; 56/19; 3; 56/19; ; 3; 14/5; 3
Hartlepool; 5; 11/2; 11/2; 11/2; 11/2; 5; 6; 5; 11/2; 11/2; ; 11/2; 6; 6; 5; 6; 27/5; 21/4; 26/5; 27/5; 61/10; 47/10; 21/4; 5; 21/4; ; 29/5; 27/5; 31/5
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-01 12:36:30 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 17/20; 5/6; 9/10; 17/20; 17/20; 17/20; 17/20; 5/6; 5/6; 17/20; 5/6; 20/23; 17/20; 17/20; 10/11; 11/13; 5/6; 11/13; 4/5; 5/6; 87/100; 6/7; 9/11; 17/20; 11/13; ; 5/6; 5/6; 5/6
Draw; 12/5; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 5/2; 13/5; 5/2; 5/2; 23/10; 13/5; 14/5; 13/5; 5/2; 28/11; 5/2; 13/5; 28/11; 14/5; 27/10; 45/17; 13/5; 27/10; ; 13/5; 5/2; 13/5
Deportivo La Coruna; 15/4; 10/3; 17/5; 7/2; 7/2; 10/3; 18/5; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 10/3; 3; 7/2; 57/17; 7/2; 10/3; 57/17; 71/20; 33/10; 57/17; 10/3; 17/5; ; 7/2; 10/3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-01 19:48:44 GMT+3; ; e70300-dr003
2020; 5/6; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/17; ; ; ; ; ; ; 
2020 or later; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 11/13; ; ; ; 8/11; ; 
2016; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 
2017; 9/4; ; ; ; 11/4; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; 11/5; 11/4; ; ; ; 3; ; 
2018; 11/2; ; ; ; 6; ; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; ; 11/2; 6; ; ; ; 23/5; ; 
2019; 15/2; ; ; ; 8; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; 15/2; 13/2; ; ; ; 34/5; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 00:16:48 GMT+3; 2017-04-01 18:00; e70300-dr003
Ludogorets; 13/10; 5/4; 11/8; ; 5/4; ; 11/8; 5/4; 5/4; ; 13/10; 13/10; ; ; ; ; 5/4; 7/5; ; 5/4; 11/10; ; ; ; 13/10; ; 6/5; ; 
CSKA Sofia; 17/10; 9/5; 9/5; ; 9/5; ; 15/8; 15/8; 7/4; ; 7/4; 17/10; ; ; ; ; 17/10; 17/10; ; 17/10; 109/50; ; ; ; 9/5; ; 9/5; ; 
Draw; 11/5; 21/10; 23/10; ; 11/5; ; 9/4; 11/5; 85/40; ; 9/4; 23/10; ; ; ; ; 28/13; 11/5; ; 28/13; 23/10; ; ; ; 9/4; ; 21/10; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 00:43:57 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 17/20; 17/20; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 5/6; 17/20; 5/6; 5/6; 17/20; 10/11; 10/11; 11/13; 5/6; 11/13; 4/5; 5/6; 17/20; 13/15; 9/11; 10/11; 11/13; ; 5/6; 5/6; 10/11
Draw; 12/5; 5/2; 13/5; 13/5; 13/5; 27/10; 27/10; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 14/5; 5/2; 5/2; 28/11; 5/2; 13/5; 28/11; 14/5; 27/10; 45/17; 13/5; 27/10; ; 13/5; 13/5; 13/5
Deportivo La Coruna; 15/4; 16/5; 17/5; 7/2; 10/3; 10/3; 17/5; 10/3; 10/3; 10/3; 10/3; 16/5; 10/3; 17/5; 16/5; 7/2; 17/5; 7/2; 10/3; 17/5; 37/10; 13/4; 57/17; 10/3; 17/5; ; 7/2; 10/3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 01:47:07 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 17/20; 17/20; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 5/6; 17/20; 5/6; 5/6; 17/20; 10/11; 10/11; 11/13; 5/6; 11/13; 4/5; 5/6; 43/50; 13/15; 9/11; 10/11; 11/13; ; 5/6; 5/6; 10/11
Draw; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 14/5; 5/2; 5/2; 28/11; 5/2; 13/5; 28/11; 14/5; 27/10; 45/17; 13/5; 27/10; ; 13/5; 27/10; 13/5
Deportivo La Coruna; 15/4; 16/5; 17/5; 7/2; 10/3; 10/3; 17/5; 10/3; 10/3; 10/3; 10/3; 16/5; 10/3; 10/3; 16/5; 7/2; 17/5; 7/2; 10/3; 17/5; 73/20; 13/4; 57/17; 10/3; 17/5; ; 7/2; 10/3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 04:18:24 GMT+3; 2017-04-09 19:45; e70300-dr003
Napoli; 7/5; 6/4; 8/5; ; ; 6/4; 31/20; ; 6/4; 7/5; 7/5; 29/20; 29/20; ; 6/4; 16/11; 7/5; 6/4; 11/8; 7/5; 31/20; 17/12; 11/8; ; 7/5; ; ; ; 
Lazio; 9/5; 17/10; 17/10; ; ; 17/10; 9/5; ; 9/5; 17/10; 13/8; 7/4; 17/10; ; 9/5; 7/4; 17/10; 28/17; 9/5; 17/10; 19/10; 18/11; 9/5; ; 9/5; ; ; ; 
Draw; 12/5; 5/2; 9/4; ; ; 12/5; 5/2; ; 5/2; 5/2; 12/5; 12/5; 13/5; ; 12/5; 5/2; 27/11; 12/5; 5/2; 27/11; 13/5; 5/2; 5/2; ; 5/2; ; ; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 08:18:56 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 17/20; 17/20; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 5/6; 17/20; 5/6; 5/6; 17/20; 10/11; 10/11; 11/13; 5/6; 11/13; 4/5; 13/15; 87/100; 8/9; 9/11; 10/11; 11/13; ; 5/6; 5/6; 10/11
Draw; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 69/25; 27/10; 45/17; 13/5; 27/10; ; 13/5; 13/5; 13/5
Deportivo La Coruna; 15/4; 16/5; 17/5; 7/2; 10/3; 10/3; 17/5; 10/3; 10/3; 10/3; 10/3; 16/5; 10/3; 18/5; 16/5; 10/3; 57/17; 7/2; 10/3; 31/10; 73/20; 16/5; 57/17; 10/3; 17/5; ; 7/2; 10/3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 09:47:14 GMT+3; 2017-04-02 17:30; e70300-dr003
Valencia; 17/20; 17/20; 9/10; 17/20; 9/10; 17/20; 20/23; 5/6; 5/6; 17/20; 5/6; 5/6; 17/20; 10/11; 10/11; 11/13; 5/6; 11/13; 4/5; 5/6; 87/100; 8/9; 9/11; 10/11; 11/13; ; 5/6; 5/6; 10/11
Draw; 12/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 27/10; 5/2; 5/2; 28/11; 5/2; 13/5; 28/11; 69/25; 45/17; 45/17; 13/5; 27/10; ; 5/2; 13/5; 13/5
Deportivo La Coruna; 15/4; 16/5; 17/5; 7/2; 10/3; 10/3; 17/5; 10/3; 10/3; 10/3; 10/3; 16/5; 10/3; 18/5; 16/5; 7/2; 17/5; 7/2; 10/3; 17/5; 73/20; 41/13; 57/17; 10/3; 17/5; ; 7/2; 10/3; 7/2
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 18:24:43 GMT+3; ; e70300-dr003
Bolton; ; 1/16; ; ; ; ; 1/16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; ; 8; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Scunthorpe; ; 20; ; ; ; ; 25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/5; ; 
Southend; ; 66; ; ; ; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 26/5; ; 
Bradford; ; 66; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Millwall; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Walsall; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; 
Charlton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; ; 
Bristol Rovers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 36/5; ; 
META; spain/la-liga-primera/valencia-v-deportivo-la-coruna; 2017-04-02 20:17:21 GMT+3; 2017-04-02 17:30; In Play; e70300-dr003
Valencia; 1/22; 1/20; 1/16; 1/25; 2/7; 1/25; 1/22; 1/33; ; 1/18; 1/20; 1/20; 1/25; 1/14; ; ; ; 1/25; ; ; ; ; ; 1/20; 4/13; ; ; 1/16; 1/12
Draw; 12; 14; 11; 14; 9/2; 12; 12; 14; ; 12; 12; 12; 12; 12; ; ; ; 11; ; ; ; ; ; 12; 15/4; ; ; 16; 59/5
Deportivo La Coruna; 40; 66; 30; 35; 12; 50; 35; 60; ; 40; 45; 40; 45; 28; ; ; ; 40; ; ; ; ; ; 50; 10; ; ; 63; 45
