Stoke; 12; 12; 9; 10; 14; ; 14; 9; 11; 11; 12; 12; 12; 14; ; 12; 21/2; 9; 12; 21/2; 25/2; 10; 12; ; ; 64/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-02 10:16:15 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 1/4; 3/13; 1/4; 2/9; 3/13; 27/100; 4/17; 2/9; ; ; 1/4; ; 
Draw; 19/4; 5; 9/2; 5; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 5; 11/2; ; 5; 5; 5; 5; 5; 27/5; 11/2; 5; ; ; 11/2; ; 
Stoke; 12; 12; 9; 10; 14; ; 14; 9; 11; 11; 12; 12; 12; 14; ; 12; 21/2; 9; 12; 21/2; 25/2; 10; 12; ; ; 64/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-02 14:16:03 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 1/5; 2/9; 1/4; ; 2/9; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 2/9; 4/17; 1/4; 2/9; 4/17; 27/100; 3/13; 2/9; ; ; ; ; 
Draw; 5; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 5; 11/2; ; 11/2; 96/19; 5; 5; 96/19; 27/5; 57/10; 5; ; ; ; ; 
Stoke; 14; 12; 9; ; 14; 12; 16; 9; 11; 11; 12; 11; 12; 14; ; 12; 41/4; 9; 12; 41/4; 25/2; 11; 12; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-02 18:16:04 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 1/5; 2/9; 1/4; ; 2/9; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 2/9; 4/17; 1/4; 2/9; 4/17; 27/100; 3/13; 2/9; ; ; 1/50; ; 
