Las Palmas 7-1; ; ; ; ; 300; ; 325; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 8-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 8-1; ; ; ; ; 300; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Las Palmas 9-0; ; ; ; ; 300; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-01 16:23:32 GMT+3; 2017-04-04 16:30; e70300-dr003
Bielefeld; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; 
Fortuna Dusseldorf; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 24/13; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-02 04:23:31 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 6/5; 23/20; 13/10
Draw; 21/10; 2; 2; 2; 2; 39/20; ; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; 21/10; 2; ; 2; 19/10; 21/10
Numancia; 13/5; 23/10; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; 9/4; 23/10; 12/5; 5/2; 12/5; 13/5; 5/2; 14/5; 21/10; 13/5; 23/10; 45/17; ; 9/4; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-04-02 08:23:35 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 6/5; 5/4; 6/5; 5/4; 6/5; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 23/20; 5/4; 5/4; 16/13; 7/6; 6/5; 6/5; ; 6/5; 23/20; 13/10
Draw; 21/10; 2; 2; 2; 2; 39/20; ; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; 21/10; 2; ; 2; 19/10; 21/10
