META; english/premier-league/man-city-v-chelsea; 2016-11-07 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Chelsea; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 12/5; 13/5; 27/10; 5/2; 27/10; 13/5; 53/20; 27/10; 27/10; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 08:16:54 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 13/12; 11/10; 11/10; ; 11/10; 21/20; 10/9
Draw; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 5/2; 5/2; 5/2; 28/11; 13/5; 5/2; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 27/10; 13/5; 12/5; 13/5; 27/10; 5/2; 27/10; 45/17; 53/20; 45/17; 27/10; 13/5; ; 13/5; 13/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 09:45:36 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 23/20; 13/12; 11/10; 11/10; ; 10/9; 21/20; 10/9
Draw; 13/5; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 5/2; 5/2; 5/2; 28/11; 13/5; 5/2; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 11/4; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 27/10; 13/5; 12/5; 13/5; 27/10; 5/2; 27/10; 13/5; 53/20; 45/17; 27/10; 13/5; ; 13/5; 13/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 11:45:37 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 21/20; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 23/20; 23/20; 11/10; 11/10; 10/9; 11/10; 10/9; 11/10; 23/20; 13/12; 10/9; 11/10; ; 10/9; 21/20; 23/20
Draw; 13/5; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 5/2; 5/2; 12/5; 28/11; 13/5; 5/2; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 27/10; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 13/5; 13/5; 13/5; 13/5; 45/17; 5/2; 13/5; 13/5; 53/20; 45/17; 45/17; 5/2; ; 13/5; 13/5; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 12:40:50 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 11/10; 11/10; 6/5; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 11/10; 23/20; 11/10; 21/20; 10/9; 11/10; 10/9; 11/10; 23/20; 13/12; 10/9; 11/10; ; 11/10; 21/20; 10/9
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 5/2; 5/2; 5/2; 28/11; 13/5; 5/2; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 14/5; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 27/10; 13/5; 13/5; 45/17; 45/17; 14/5; 13/5; 13/5; 53/20; 45/17; 45/17; 13/5; ; 13/5; 5/2; 27/10
META; english/premier-league/man-city-v-chelsea; 2016-12-02 13:05:22 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 23/20; 23/20; 6/5; 11/10; 23/20; 11/10; 11/10; 11/10; 21/20; 23/20; 21/20; 6/5; 23/20; 15/13; 11/10; 10/9; 15/13; 10/9; 11/10; 23/20; 8/7; 10/9; 23/20; ; 23/20; 23/20; 6/5
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; 12/5; 51/20; 5/2; 13/5; 12/5; 28/11; 13/5; 5/2; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 49/20; 12/5; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 49/20; 5/2; 5/2; 13/5; 27/11; 45/17; 13/5; 13/5; 27/11; 53/20; 27/11; 45/17; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-02 13:45:24 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; 11/10; 11/10; 11/10; 6/5; 11/10; 6/5; 23/20; 15/13; 11/10; 10/9; 15/13; 10/9; 11/10; 23/20; 9/8; 10/9; 6/5; ; 23/20; 23/20; 6/5
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 28/11; 13/5; 5/2; 13/5; 28/11; 13/5; 5/2; 13/5; 5/2; ; 12/5; 12/5; 13/5
Chelsea; 13/5; 5/2; 12/5; 12/5; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 27/11; 45/17; 13/5; 13/5; 27/11; 53/20; 5/2; 45/17; 12/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 15:45:23 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 21/20; 23/20; 11/10; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 15/13; 11/10; 15/13; 15/13; 23/20; 11/10; 23/20; 19/17; 15/13; 23/20; ; 10/9; 10/9; 6/5
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; 9/4; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 5/2; 12/5; 5/2; 13/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 28/11; 28/11; 13/5; 5/2; 28/11; 53/20; 5/2; 28/11; 13/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 16:17:02 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 15/13; 11/10; 15/13; 15/13; 23/20; 11/10; 23/20; 19/17; 15/13; 23/20; ; 10/9; 10/9; 23/20
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 12/5; 5/2; 12/5; 5/2; 13/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 28/11; 28/11; 13/5; 5/2; 28/11; 53/20; 5/2; 28/11; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 17:45:23 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 11/10; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 15/13; 11/10; 15/13; 15/13; 23/20; 11/10; 23/20; 19/17; 15/13; 23/20; ; 10/9; 10/9; 6/5
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 12/5; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 12/5; 5/2; 12/5; 5/2; 13/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 28/11; 28/11; 13/5; 5/2; 28/11; 53/20; 5/2; 28/11; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 18:32:47 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 11/10; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 15/13; 11/10; 15/13; 15/13; 23/20; 11/10; 23/20; 19/17; 15/13; 23/20; ; 10/9; 23/20; 23/20
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 27/11; 13/5; 5/2; 13/5; 27/11; 13/5; 5/2; 13/5; 12/5; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 13/5; 28/11; 28/11; 13/5; 5/2; 28/11; 53/20; 5/2; 28/11; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 19:45:26 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; 11/10; 23/20; 19/17; 15/13; 23/20; ; 10/9; 23/20; 23/20
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 27/11; 28/11; 5/2; 5/2; 27/11; 13/5; 5/2; 28/11; 12/5; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; 28/11; 53/20; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 20:16:53 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; 11/10; 23/20; 19/17; 15/13; 23/20; ; 10/9; 10/9; 23/20
Draw; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 27/11; 28/11; 5/2; 5/2; 27/11; 13/5; 5/2; 28/11; 5/2; ; 5/2; 5/2; 13/5
Chelsea; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; 28/11; 53/20; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 21:45:25 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; 11/10; 117/100; 19/17; 15/13; 23/20; ; 10/9; 10/9; 6/5
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 27/11; 28/11; 5/2; 5/2; 27/11; 13/5; 5/2; 28/11; 12/5; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 12/5; 49/20; 5/2; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; 28/11; 51/20; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-02 23:45:14 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; 11/10; 117/100; 19/17; 15/13; 23/20; ; 10/9; 23/20; 6/5
Draw; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 49/20; 5/2; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; 28/11; 51/20; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 00:16:53 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; 11/10; 117/100; 19/17; 15/13; 23/20; ; 23/20; 10/9; 6/5
Draw; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 49/20; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; 28/11; 51/20; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 00:50:58 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; 11/10; 117/100; 19/17; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 49/20; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; 28/11; 51/20; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 01:45:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 23/20; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; 11/10; 117/100; 8/7; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 12/5; 5/2; 5/2
Chelsea; 13/5; 5/2; 49/20; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 51/20; 27/11; 13/5; 13/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 03:45:02 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 23/20; ; 117/100; 8/7; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; ; 13/5; 5/2; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 12/5; 5/2; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; ; 51/20; 27/11; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 04:16:51 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 15/13; 15/13; 15/13; 23/20; 15/13; 117/100; 8/7; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 49/20; 5/2; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 27/11; 13/5; 13/5; 13/5; 27/11; 51/20; 27/11; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 05:45:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 15/13; 15/13; 15/13; 23/20; 15/13; 117/100; 8/7; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 49/20; 12/5; 5/2; 13/5; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 27/11; 13/5; 13/5; 13/5; 27/11; 51/20; 27/11; 13/5; 12/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 06:30:24 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 11/10; 23/20; 23/20; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 6/5; 23/20; 6/5; 15/13; 15/13; 15/13; 23/20; 15/13; 117/100; 16/13; 15/13; 23/20; ; 23/20; 23/20; 6/5
Draw; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 28/11; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 13/5; 5/2; 12/5; 12/5; 5/2; 13/5; 12/5; 12/5; 13/5; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 51/20; 9/4; 13/5; 12/5; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 07:45:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 11/9; 15/13; 6/5; 15/13; 117/100; 19/16; 11/9; 6/5; ; 23/20; 6/5; 6/5
Chelsea; 13/5; 5/2; 47/20; 23/10; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 47/20; 5/2; 5/2; 5/2; 12/5; 27/11; 13/5; 12/5; 12/5; 51/20; 23/10; 27/11; 12/5; ; 12/5; 12/5; 12/5
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 28/11; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-03 08:16:52 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 11/9; 15/13; 6/5; 15/13; 117/100; 19/16; 11/9; 6/5; ; 23/20; 6/5; 6/5
Chelsea; 13/5; 5/2; 47/20; 23/10; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 47/20; 5/2; 5/2; 5/2; 12/5; 27/11; 13/5; 12/5; 12/5; 51/20; 23/10; 27/11; 12/5; ; 12/5; 12/5; 12/5
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 28/11; 28/11; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-03 09:45:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 23/20; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 23/20; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 16/13; 15/13; 6/5; 6/5; 6/5; 19/16; 16/13; 6/5; ; 23/20; 6/5; 6/5
Chelsea; 13/5; 23/10; 47/20; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 47/20; 12/5; 5/2; 5/2; 40/17; 12/5; 13/5; 12/5; 40/17; 5/2; 40/17; 12/5; 12/5; ; 12/5; 12/5; 12/5
Draw; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 13/5; 12/5; 23/10; 5/2; 12/5; 23/10; 51/20; 5/2; 13/5; 12/5; 5/2; 28/11; 5/2; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-03 11:45:01 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 6/5; 6/5; 5/4; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 17/14; 6/5; 6/5; 15/13; 31/25; 6/5; 17/14; 6/5; ; 23/20; 6/5; 6/5
Chelsea; 5/2; 5/2; 23/10; 12/5; 5/2; 12/5; 5/2; 12/5; 23/10; 12/5; 5/2; 5/2; 47/20; 5/2; 5/2; 5/2; 12/5; 27/11; 12/5; 12/5; 12/5; 49/20; 40/17; 27/11; 5/2; ; 12/5; 12/5; 5/2
Draw; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 23/10; 5/2; 5/2; 23/10; 51/20; 5/2; 13/5; 12/5; 27/11; 28/11; 5/2; 5/2; 27/11; 63/25; 27/11; 28/11; 5/2; ; 12/5; 5/2; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-03 12:17:27 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 6/5; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 6/5; 6/5; 6/5; 15/13; 31/25; 7/6; 6/5; 6/5; ; 23/20; 23/20; 6/5
Chelsea; 5/2; 5/2; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 5/2; 47/20; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 49/20; 5/2; 5/2; 5/2; ; 12/5; 12/5; 13/5
Draw; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 12/5; 23/10; 5/2; 5/2; 23/10; 51/20; 5/2; 13/5; 5/2; 27/11; 53/21; 5/2; 5/2; 27/11; 63/25; 12/5; 53/21; 5/2; ; 12/5; 5/2; 5/2
META; english/premier-league/man-city-v-chelsea; 2016-12-03 13:00:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 6/5; 6/5; 6/5; 23/20; 6/5; 23/20; 23/20; 6/5; 6/5; 23/20; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 15/13; 6/5; 23/20; 15/13; 6/5; 22/19; 15/13; 6/5; ; 10/9; 23/20; 6/5
Draw; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 12/5; 23/10; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 5/2; 27/11; 28/11; 5/2; 5/2; 27/11; 127/50; 12/5; 28/11; 5/2; ; 12/5; 5/2; 13/5
Chelsea; 5/2; 5/2; 47/20; 5/2; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 12/5; 13/5; 5/2; 127/50; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 13:45:02 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 6/5; 6/5; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 13/11; 15/13; 23/20; 15/13; 123/100; 6/5; 13/11; 6/5; ; 23/20; 6/5; 6/5
