META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Bournemouth; 14/5; 11/4; 11/4; 11/4; 3; 14/5; 3; 14/5; 14/5; 3; 14/5; 14/5; 14/5; 14/5; 14/5; 3; 3; 41/13; 27/10; ; 3; 33/10; 11/4; 41/13; 14/5; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 00:16:48 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 20/21; 1; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 39/40; 22/23; 22/23; 19/20; ; 10/11; 20/21; 20/21
Draw ; 5/2; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 45/17; 5/2; 13/5; 13/5; 45/17; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 14/5; 14/5; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 3; 41/13; 29/10; 3; 3; 41/13; 11/4; 41/13; 14/5; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 00:54:19 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 20/21; 1; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 39/40; 22/23; 22/23; 19/20; ; 20/21; 20/21; 1
Draw ; 5/2; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 5/2; 13/5; 28/11; 45/17; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 14/5; 14/5; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 41/13; 11/4; 41/13; 14/5; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 01:45:37 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 20/21; 1; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 39/40; 22/23; 22/23; 19/20; ; 10/11; 20/21; 20/21
Draw ; 5/2; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 5/2; 13/5; 28/11; 45/17; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 14/5; 14/5; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 41/13; 11/4; 41/13; 14/5; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 03:45:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 39/40; 22/23; 22/23; 19/20; ; 10/11; 10/11; 20/21
Draw ; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 5/2; 13/5; 28/11; 45/17; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 14/5; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 41/13; 11/4; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 04:15:53 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 10/11; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 22/23; 22/23; 19/20; ; 10/11; 10/11; 20/21
Draw ; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 5/2; 13/5; 28/11; 27/10; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 14/5; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 16/5; 11/4; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 05:45:33 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 22/23; 22/23; 19/20; ; 20/21; 10/11; 20/21
Draw ; 13/5; 11/4; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 5/2; 13/5; 28/11; 27/10; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 29/10; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 16/5; 11/4; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 06:30:25 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 20/21; 19/20; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 22/23; 22/23; 19/20; ; 20/21; 10/11; 20/21
Draw ; 13/5; 11/4; 13/5; 5/2; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 5/2; 13/5; 28/11; 27/10; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 29/10; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 16/5; 11/4; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 07:45:33 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 19/20; 19/20; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 19/20; 22/23; 19/20; ; 20/21; 10/11; 20/21
Draw ; 13/5; 11/4; 13/5; 5/2; 11/4; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 5/2; 13/5; 28/11; 27/10; 45/17; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 29/10; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 16/5; 14/5; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 08:15:52 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 19/20; 19/20; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 19/20; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 19/20; 22/23; 19/20; ; 20/21; 10/11; 20/21
Draw ; 13/5; 11/4; 13/5; 5/2; 11/4; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 28/11; 45/17; 5/2; 13/5; 28/11; 27/10; 45/17; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 29/10; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 56/19; 41/13; 29/10; 3; 56/19; 16/5; 14/5; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 09:45:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 19/20; 19/20; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 19/20; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 19/20; 22/23; 19/20; ; 10/11; 10/11; 20/21
Draw ; 13/5; 11/4; 13/5; 5/2; 11/4; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 45/17; 5/2; 13/5; 13/5; 27/10; 45/17; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 29/10; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 29/10; 29/10; 14/5; 3; 3; 41/13; 29/10; 3; 3; 16/5; 14/5; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 11:45:37 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 20/21; 1; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 19/20; 22/23; 19/20; ; 10/11; 20/21; 20/21
Draw ; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 27/10; 5/2; 13/5; 13/5; 13/5; 13/5; 53/20; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 28/11; 45/17; 45/17; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 3; 16/5; 14/5; 3; 3; 41/13; 31/10; 3; 3; 13/4; 14/5; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 12:16:04 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 20/21; 1; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; 19/20; 28/29; 19/20; 22/23; 19/20; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 27/10; 5/2; 13/5; 13/5; 13/5; 13/5; 53/20; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 28/11; 45/17; 45/17; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 3; 16/5; 14/5; 3; 3; 41/13; 31/10; 3; 3; 13/4; 14/5; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 12:58:30 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 20/21; 1; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 1; 19/20; 22/23; 19/20; 20/21; ; 28/29; 19/20; 22/23; 19/20; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 27/10; 5/2; 13/5; 13/5; 13/5; 13/5; 53/20; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; ; 45/17; 45/17; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 14/5; 3; 16/5; 14/5; 3; 3; 41/13; 31/10; 3; ; 13/4; 14/5; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 13:45:41 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 10/11; 1; 19/20; 37/40; 1; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 19/20; 19/20; 22/23; 19/20; 20/21; ; 28/29; 19/20; 22/23; 19/20; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 53/20; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; ; 45/17; 45/17; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 14/5; 3; 3; 16/5; 14/5; 14/5; 3; 3; 14/5; 3; 16/5; 16/5; 31/10; 3; 41/13; 31/10; 3; ; 13/4; 14/5; 41/13; 16/5; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 15:45:36 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 10/11; 1; 19/20; 20/21; 1; 1; 20/21; 19/20; 1; 10/11; 19/20; 19/20; 10/11; 19/20; 22/23; 19/20; 20/21; ; 39/40; 19/20; 22/23; 10/11; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 13/5; 5/2; 11/4; 13/5; 27/10; 5/2; 13/5; 13/5; 13/5; 12/5; 53/20; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; ; 45/17; 27/10; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 3; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 3; 3; 3; 16/5; 16/5; 31/10; 3; 41/13; 31/10; 3; ; 41/13; 37/13; 41/13; 16/5; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 16:17:23 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 10/11; 1; 19/20; 20/21; 1; 1; 1; 1; 1; 10/11; 19/20; 19/20; 10/11; 19/20; 22/23; 19/20; 20/21; ; 39/40; 19/20; 22/23; 19/20; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 27/10; 5/2; 11/4; 27/10; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 13/5; 13/5; 13/5; 13/5; 45/17; 13/5; 13/5; ; 45/17; 27/10; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 14/5; 3; 3; 31/10; 14/5; 14/5; 3; 14/5; 3; 3; 16/5; 16/5; 31/10; 3; 41/13; 31/10; 3; ; 41/13; 37/13; 41/13; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 17:45:36 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 20/21; 1; ; 1; 1; 1; 10/11; 1; 1; 10/11; 19/20; 22/23; 19/20; 20/21; ; 39/40; 19/20; 22/23; 19/20; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 13/5; 13/5; 11/4; 27/10; 27/10; 5/2; ; 5/2; 13/5; 12/5; 53/20; 13/5; 13/5; 45/17; 13/5; 45/17; 13/5; 13/5; 13/5; 45/17; 27/10; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 31/10; 14/5; ; 3; 14/5; 3; 3; 16/5; 3; 31/10; 3; 41/13; 31/10; 3; ; 41/13; 37/13; 41/13; 3; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 18:32:22 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 20/21; 1; ; 1; 1; 1; 10/11; 1; 1; 10/11; 19/20; 22/23; 19/20; 20/21; ; 1; 19/20; 22/23; 19/20; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 27/10; 5/2; ; 5/2; 13/5; 12/5; 53/20; 13/5; 13/5; 45/17; 13/5; 45/17; 13/5; 13/5; 28/11; 45/17; 27/10; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 31/10; 14/5; ; 3; 14/5; 3; 3; 16/5; 3; 31/10; 3; 41/13; 31/10; 3; ; 31/10; 37/13; 41/13; 3; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 19:45:39 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 20/21; 1; 1; 1; 1; 1; 10/11; 1; 1; 10/11; 19/20; 22/23; 19/20; 20/21; ; 1; 19/20; 22/23; 1; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 13/5; 13/5; 45/17; 28/11; 45/17; 13/5; 13/5; 28/11; 45/17; 27/10; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 31/10; 14/5; 14/5; 3; 14/5; 3; 3; 16/5; 3; 31/10; 56/19; 41/13; 31/10; 3; 56/19; 31/10; 37/13; 41/13; 3; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 20:17:28 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 20/21; 1; 1; 1; 1; 1; 10/11; 1; 1; 10/11; 19/20; 1; 19/20; 1; ; 1; 19/20; 1; 1; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 13/5; 13/5; 45/17; 28/11; 45/17; 13/5; 13/5; 28/11; 45/17; 27/10; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 31/10; 14/5; 14/5; 3; 14/5; 3; 3; 16/5; 3; 31/10; 56/19; 3; 31/10; 3; 56/19; 31/10; 37/13; 3; 3; ; 14/5; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-21 23:45:33 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 20/21; 1; 19/20; 37/40; 1; 1; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 28/29; 15/16; 1; 19/20; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 3; 3; 3; 3; 16/5; 14/5; 14/5; 3; 14/5; 3; 59/20; 29/10; 3; 16/5; 56/19; 3; 31/10; 3; 3; 16/5; 56/19; 3; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 00:17:15 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 20/21; 1; 19/20; 37/40; 1; 1; 1; 1; 1; 19/20; 10/11; 1; 10/11; 19/20; 19/20; 19/20; 20/21; ; 28/29; 15/16; 19/20; 19/20; ; 10/11; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 3; 3; 3; 3; 16/5; 14/5; 14/5; 3; 14/5; 3; 59/20; 29/10; 3; 16/5; 56/19; 16/5; 31/10; 3; 3; 16/5; 56/19; 16/5; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 00:56:41 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 20/21; 1; 19/20; 37/40; 1; 10/11; 1; 1; 1; 19/20; 10/11; 1; 10/11; 19/20; 19/20; 19/20; 20/21; ; 28/29; 15/16; 19/20; 19/20; ; 10/11; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 11/4; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 3; 3; 3; 3; 16/5; 14/5; 3; 3; 14/5; 3; 59/20; 29/10; 3; 16/5; 56/19; 16/5; 31/10; 3; 3; 16/5; 56/19; 16/5; 3; ; 3; 14/5; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 01:45:26 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 20/21; 1; 10/11; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 19/20; 19/20; 1; ; 28/29; 15/16; 19/20; 1; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 13/5; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 31/10; 14/5; 3; 3; 14/5; 3; 59/20; 14/5; 3; 16/5; 56/19; 16/5; 31/10; 3; 56/19; 16/5; 56/19; 16/5; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 03:45:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 1; 1; 10/11; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 28/29; 15/16; 1; 1; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 13/5; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 3; 57/20; 14/5; 3; 16/5; 56/19; 3; 31/10; 3; 56/19; 16/5; 56/19; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 04:17:01 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 1; 1; 10/11; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 28/29; 15/16; 1; 1; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 13/5; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 3; 57/20; 14/5; 3; 16/5; 56/19; 3; 31/10; 3; 56/19; 16/5; 56/19; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 05:45:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 1; 1; 10/11; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 28/29; 15/16; 1; 1; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 13/5; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 3; 57/20; 29/10; 3; 16/5; 56/19; 3; 31/10; 3; 56/19; 16/5; 56/19; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 06:31:39 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 1; 1; 10/11; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 28/29; 39/40; 1; 1; ; 20/21; 20/21; 1
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 29/10; 14/5; 3; 3; 14/5; 3; 57/20; 14/5; 3; 16/5; 56/19; 3; 31/10; 3; 56/19; 16/5; 14/5; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 07:45:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 1; 1; 10/11; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 28/29; 66/67; 1; 1; ; 10/11; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 13/5; 45/17; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 3; 14/5; 3; 3; 14/5; 3; 57/20; 14/5; 3; 16/5; 56/19; 3; 31/10; 3; 56/19; 16/5; 14/5; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 08:16:57 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 1; 1; 10/11; 1; 1; 1; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 28/29; 1; 1; 1; ; 10/11; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 12/5; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 5/2; 13/5; 13/5
