META; english/premier-league/sunderland-v-arsenal; 2016-10-04 16:18:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Sunderland; 8; 13/2; 7; 7; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 15/2; 15/2; 15/2; 7; 7; 7; 77/10; 7; 38/5; 7; 77/10; 33/5; 77/10; 13/2; ; 37/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 19:45:41 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/18; 5/12; 2/5; 2/5; 7/18; 5/12; 15/16; 5/12; 4/9; ; 2/5; 2/5; 2/5
Draw; 4; 18/5; 4; 15/4; 21/5; 4; 4; 4; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 7/2; 75/19; 4; 17/4; 4; 75/19; 41/10; 28/11; 4; 15/4; ; 7/2; 4; 4
Sunderland; 8; 6; 7; 7; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 15/2; 7; 15/2; 7; 7; 7; 29/4; 7; 36/5; 7; 77/10; 21/10; 29/4; 13/2; ; 37/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 20:17:36 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/18; 5/12; 2/5; 2/5; 7/18; 5/12; 15/16; 5/12; 4/9; ; 2/5; 2/5; 4/9
Draw; 4; 18/5; 4; 15/4; 21/5; 4; 4; 4; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 7/2; 75/19; 4; 17/4; 4; 75/19; 41/10; 28/11; 4; 15/4; ; 7/2; 4; 4
Sunderland; 8; 6; 7; 7; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 15/2; 7; 15/2; 7; 13/2; 7; 29/4; 7; 36/5; 7; 77/10; 21/10; 29/4; 13/2; ; 36/5; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 21:45:42 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 2/5; 7/18; 3/7; 2/5; 2/5; 7/18; 4/9; ; 3/7; 4/9; ; 2/5; 2/5; 4/9
Draw; 4; 18/5; 4; 15/4; 21/5; 4; 21/5; 4; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 7/2; 75/19; 4; 17/4; 4; 75/19; 41/10; ; 4; 15/4; ; 7/2; 4; 4
Sunderland; 8; 6; 7; 15/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 15/2; 7; 15/2; 7; 13/2; 7; 7; 7; 7; 7; 7; ; 7; 7; ; 7; 7; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-28 23:45:33 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 7/18; 3/7; 2/5; 2/5; 7/18; 4/9; 7/17; 3/7; 4/9; ; 2/5; 2/5; 4/9
Draw; 4; 4; 4; 15/4; 21/5; 4; 4; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 4; 4; 4; 4; 4; 41/10; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 8; 7; 7; 15/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 6; 15/2; 15/2; 15/2; 7; 7; 7; 7; 15/2; 7; 7; 7; 33/5; 7; 7; ; 7; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 00:16:59 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 7/18; 3/7; 2/5; 2/5; 7/18; 4/9; 7/17; 3/7; 4/9; ; 2/5; 2/5; 4/9
Draw; 4; 4; 4; 15/4; 21/5; 4; 4; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 4; 4; 4; 4; 4; 41/10; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 8; 7; 7; 15/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 6; 15/2; 15/2; 15/2; 7; 7; 7; 7; 15/2; 7; 7; 7; 33/5; 7; 7; ; 33/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 00:53:10 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 7/18; 3/7; 5/12; 2/5; 2/5; 3/7; 7/17; 3/7; 4/9; ; 2/5; 2/5; 4/9
Draw; 4; 4; 4; 15/4; 21/5; 4; 4; 7/2; 4; 4; 15/4; 19/5; 15/4; 4; 17/4; 7/2; 4; 4; 4; 4; 75/19; 21/5; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 13/2; 7; 7; 15/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 13/2; 15/2; 15/2; 7; 7; 13/2; 7; 7; 15/2; 7; 7; 71/10; 33/5; 7; 13/2; ; 34/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 01:45:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 7/18; 3/7; 5/12; 2/5; 2/5; 3/7; 7/17; 3/7; 2/5; ; 2/5; 2/5; 4/9
Draw; 4; 4; 4; 15/4; 21/5; 4; 19/5; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 75/19; 4; 4; 4; 75/19; 21/5; 75/19; 4; 4; ; 7/2; 7/2; 4
Sunderland; 13/2; 7; 7; 15/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 6; 15/2; 15/2; 7; 7; 13/2; 7; 7; 27/4; 7; 7; 71/10; 33/5; 7; 13/2; ; 7; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 04:16:58 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 3/7; 5/12; 2/5; 2/5; 3/7; 7/17; 3/7; 4/9; ; 2/5; 4/9; 4/9
Draw; 4; 4; 4; 15/4; 21/5; 4; 15/4; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 39/10; 4; 4; 4; 39/10; 21/5; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 13/2; 7; 7; 15/2; 15/2; 7; 8; 13/2; 13/2; 7; 6; 15/2; 15/2; 7; 7; 13/2; 7; 7; 27/4; 7; 7; 71/10; 33/5; 7; 13/2; ; 36/5; 34/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 05:45:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 7/17; 3/7; 5/12; 2/5; 7/17; 3/7; 7/17; 3/7; 4/9; ; 2/5; 2/5; 4/9
Draw; 4; 4; 19/5; 15/4; 21/5; 4; 19/5; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 39/10; 4; 4; 4; 39/10; 21/5; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 13/2; 7; 7; 15/2; 15/2; 7; 8; 13/2; 13/2; 7; 6; 15/2; 15/2; 7; 7; 13/2; 27/4; 7; 27/4; 7; 27/4; 71/10; 33/5; 7; 13/2; ; 36/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 06:29:25 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 7/17; 3/7; 5/12; 2/5; 7/17; 3/7; 3/7; 3/7; 4/9; ; 2/5; 2/5; 4/9
Draw; 4; 19/5; 19/5; 15/4; 21/5; 4; 19/5; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 39/10; 4; 4; 4; 39/10; 21/5; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 13/2; 13/2; 7; 15/2; 15/2; 7; 15/2; 13/2; 13/2; 7; 6; 15/2; 15/2; 7; 7; 13/2; 27/4; 7; 27/4; 7; 27/4; 71/10; 32/5; 7; 13/2; ; 36/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 07:45:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 3/7; 5/12; 2/5; 2/5; 3/7; 3/7; 3/7; 2/5; ; 2/5; 2/5; 4/9
Draw; 4; 19/5; 19/5; 15/4; 21/5; 4; 4; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 39/10; 4; 4; 4; 39/10; 21/5; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 13/2; 13/2; 7; 15/2; 15/2; 7; 8; 13/2; 13/2; 7; 6; 15/2; 15/2; 7; 7; 13/2; 27/4; 7; 27/4; 7; 27/4; 71/10; 32/5; 7; 7; ; 37/5; 15/2; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 08:17:01 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 2/5; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 3/7; 5/12; 2/5; 2/5; 3/7; 3/7; 3/7; 2/5; ; 2/5; 2/5; 4/9
Draw; 4; 19/5; 19/5; 15/4; 21/5; 4; 19/5; 7/2; 4; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 39/10; 4; 4; 4; 39/10; 21/5; 75/19; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 13/2; 13/2; 7; 15/2; 15/2; 7; 8; 13/2; 13/2; 7; 6; 15/2; 15/2; 7; 7; 13/2; 27/4; 7; 27/4; 7; 27/4; 71/10; 32/5; 7; 7; ; 37/5; 15/2; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 09:45:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 3/7; 5/12; 2/5; 2/5; 3/7; 4/9; 3/7; 4/9; ; 2/5; 4/9; 4/9
Draw; 4; 19/5; 15/4; 15/4; 19/5; 4; 19/5; 7/2; 19/5; 4; 7/2; 19/5; 15/4; 4; 17/4; 7/2; 50/13; 4; 4; 4; 50/13; 21/5; 50/13; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 13/2; 13/2; 7; 6; 7; 7; 15/2; 13/2; 6; 7; 6; 15/2; 15/2; 7; 7; 13/2; 29/4; 7; 27/4; 7; 29/4; 71/10; 61/10; 7; 13/2; ; 38/5; 36/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 11:45:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 4/9; 21/50; 2/5; 2/5; 2/5; 3/8; 7/17; 5/12; 2/5; 3/8; 3/7; 7/17; 7/17; 2/5; ; 2/5; 2/5; 4/9
Draw; 4; 19/5; 19/5; 4; 19/5; 4; 15/4; 7/2; 19/5; 4; 7/2; 10/3; 15/4; 4; 4; 7/2; 39/10; 4; 4; 4; 39/10; 21/5; 4; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 8; 7; 7; 7; 7; 7; 8; 13/2; 13/2; 15/2; 7; 15/2; 13/2; 8; 15/2; 7; 15/2; 39/5; 27/4; 39/5; 15/2; 71/10; 33/5; 39/5; 7; ; 38/5; 39/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 12:17:04 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 2/5; 2/5; 4/9; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 4/9; 21/50; 2/5; 2/5; 2/5; 3/8; 5/12; 5/12; 2/5; 3/8; 3/7; 7/17; 5/12; 2/5; ; 2/5; 2/5; 4/9
Draw; 4; 19/5; 19/5; 4; 19/5; 4; 19/5; 7/2; 19/5; 4; 7/2; 10/3; 15/4; 4; 4; 4; 39/10; 4; 4; 4; 39/10; 21/5; 39/10; 4; 15/4; ; 7/2; 7/2; 4
Sunderland; 8; 7; 7; 7; 7; 7; 8; 13/2; 13/2; 15/2; 7; 15/2; 13/2; 8; 15/2; 31/4; 15/2; 29/4; 27/4; 36/5; 15/2; 71/10; 33/5; 29/4; 7; ; 38/5; 39/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 12:53:54 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/9; 4/9; 4/9; 2/5; 4/9; 17/40; 9/20; 4/9; 4/9; 2/5; 4/9; 4/9; 2/5; 4/9; 2/5; 2/5; 7/17; 4/9; 5/12; 4/9; 7/18; 3/7; 3/7; 4/9; 4/9; ; 2/5; 2/5; 4/9
Draw; 15/4; 18/5; 19/5; 4; 19/5; 19/5; 18/5; 7/2; 19/5; 4; 7/2; 10/3; 15/4; 19/5; 4; 4; 19/5; 50/13; 4; 7/2; 39/10; 21/5; 50/13; 50/13; 7/2; ; 7/2; 7/2; 4
Sunderland; 15/2; 13/2; 7; 7; 7; 7; 15/2; 13/2; 6; 15/2; 7; 15/2; 15/2; 15/2; 15/2; 31/4; 7; 71/10; 27/4; 7; 29/4; 71/10; 63/10; 71/10; 7; ; 37/5; 39/5; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 15:45:23 GMT+3; 2016-10-29 12:30; In Play; e70300-dr003
Arsenal; 1/10; 1/10; ; 1/7; 1/7; 3/20; 1/10; 1/10; ; 1/8; 1/9; 1/8; 1/9; 1/9; ; ; 1/9; 1/11; 1/9; ; 3/19; 1/9; ; ; 1/9; ; 2/15; 1/7; 4/9
Draw; 7; 8; ; 6; 13/2; 13/2; 15/2; 6; ; 13/2; 7; 13/2; 13/2; 7; ; ; 13/2; 8; 25/4; ; 76/13; 15/2; ; ; 7; ; 17/2; 38/5; 4
Sunderland; 18; 40; ; 22; 25; 33; 30; 25; ; 25; 25; 22; 40; 28; ; ; 53/2; 29; 33; ; 67/4; 35; ; ; 28; ; 37; 41; 38/5
META; english/premier-league/sunderland-v-arsenal; 2016-10-29 16:17:14 GMT+3; 2016-10-29 12:30; In Play; e70300-dr003
Arsenal; ; 1/9999; ; ; 1/7; ; ; ; ; ; 1/1000; 10/11; ; 1/12; ; ; ; 1/100; ; ; ; ; ; ; ; ; 1/8; 1/10; 4/9
Draw; ; 200; ; ; 13/2; ; ; 15/2; ; ; 200; 13/10; ; 8; ; ; ; 21; ; ; ; ; ; ; 200; ; 41/5; 53/5; 4
Sunderland; ; 250; ; ; 25; ; ; 70; ; ; 125; 9; ; 45; ; ; ; 129; ; ; ; ; ; ; 200; ; 56; 127; 38/5
