Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; ; 13/10; 13/10
Liverpool; 11/5; 21/10; 21/10; 21/10; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 11/5; 19/10; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; ; 21/10; 23/10
Draw; 12/5; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 5/2; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; ; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 05:46:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 11/5; 21/10; 21/10; 21/10; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 2; 19/10; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; 11/5; 21/10; 23/10
Draw; 12/5; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 12/5; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 06:33:30 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 21/10; 21/10; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 2; 19/10; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 11/5; ; 11/5; 21/10; 23/10
Draw; 5/2; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 12/5; 13/5; 51/20; 12/5; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 07:46:00 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 13/10; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 2; 21/10; 9/4; 9/4; 11/5; 23/10; 2; 9/4; 21/10; 19/10; 19/10; 21/10; 2; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 21/10; ; 11/5; 21/10; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 12/5; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 08:16:08 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 13/10; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 2; 21/10; 9/4; 9/4; 11/5; 23/10; 2; 9/4; 21/10; 19/10; 19/10; 21/10; 2; 21/10; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 21/10; ; 11/5; 21/10; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 12/5; 13/5; 51/20; 5/2; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 09:46:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 13/10; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 2; 21/10; 9/4; 9/4; 11/5; 23/10; 2; 9/4; 21/10; 19/10; 9/4; 21/10; 2; 21/10; 11/5; 28/13; 9/4; 11/5; 9/4; 28/13; 40/17; 11/5; 21/10; ; 11/5; 21/10; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 28/11; 12/5; 12/5; 5/2; 51/20; 5/2; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 11:46:12 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 13/10; 6/5; 6/5; 6/5; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 13/10; ; 5/4; 5/4; 13/10
Liverpool; 23/10; 21/10; 41/20; 21/10; 9/4; 9/4; 11/5; 21/10; 2; 9/4; 21/10; 19/10; 9/4; 21/10; 2; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 21/10; ; 9/4; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 28/11; 12/5; 12/5; 5/2; 51/20; 5/2; 5/2; 12/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 12:16:04 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; ; 13/10; 13/10
Liverpool; 23/10; 21/10; 41/20; 9/4; 9/4; 9/4; 9/4; 21/10; 2; 9/4; 21/10; 19/10; 9/4; 21/10; 2; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 21/10; ; ; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 28/11; 12/5; 12/5; 5/2; 51/20; 5/2; 5/2; 12/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; ; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 13:05:00 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 41/20; 9/4; 9/4; 9/4; 9/4; 21/10; 2; 9/4; 21/10; 19/10; 9/4; 21/10; 2; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 28/11; 12/5; 12/5; 5/2; 51/20; 5/2; 5/2; 12/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 13:46:29 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 13/10; 6/5; 6/5; 6/5; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 6/5; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 21/10; 9/4; 9/4; 9/4; 9/4; 21/10; 2; 9/4; 21/10; 2; 9/4; 21/10; 2; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 28/11; 12/5; 12/5; 5/2; 51/20; 5/2; 5/2; 5/2; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 15:46:10 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 13/10; 5/4; 13/10; ; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 5/4; ; 5/4; 5/4; 13/10
Liverpool; 23/10; 21/10; 41/20; 9/4; 9/4; 9/4; ; 21/10; 2; 9/4; 23/10; 11/5; ; 11/5; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 40/17; 9/4; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; ; 12/5; 5/2; 28/11; 5/2; 12/5; ; 51/20; 5/2; 5/2; 12/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 16:16:08 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 11/5; 21/10; 9/4; 9/4; 9/4; ; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 40/17; 9/4; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; ; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 17:46:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 5/4; ; ; 13/10; 13/10
Liverpool; 23/10; 11/5; 21/10; 9/4; 9/4; 9/4; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 40/17; 9/4; 21/10; ; ; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; ; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 18:34:24 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; ; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 5/4; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 11/5; 21/10; 9/4; 9/4; ; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 9/4; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; ; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 5/2; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 12/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 19:46:08 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 13/10; ; 5/4; 5/4; 13/10
Liverpool; 23/10; 11/5; 21/10; 9/4; 9/4; 9/4; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 40/17; 9/4; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 20:16:13 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 13/10; ; 5/4; 5/4; 13/10
Liverpool; 23/10; 11/5; 41/20; 9/4; 9/4; 9/4; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 40/17; 9/4; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 21:46:14 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 13/10; ; 5/4; 5/4; 13/10
Liverpool; 23/10; 11/5; 41/20; 9/4; 9/4; 9/4; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 9/4; 21/10; ; 11/5; 11/5; 23/10
Draw; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 12/5; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-15 23:45:33 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 13/10; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 41/20; 9/4; 9/4; 9/4; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 9/4; 21/10; ; 11/5; 9/4; 23/10
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 27/11; 28/11; 5/2; 12/5; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 00:15:06 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 16/13; 13/10; ; 5/4; 13/10; 13/10
Liverpool; 23/10; 21/10; 41/20; 9/4; 9/4; 9/4; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 9/4; 21/10; ; 21/10; 11/5; 9/4
Draw; 5/2; 13/5; 5/2; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 27/11; 28/11; 5/2; 12/5; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 00:57:33 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 5/4; 5/4; ; 6/5; 5/4; 5/4
Liverpool; 23/10; 9/4; 21/10; 11/5; 9/4; 9/4; 9/4; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 21/10; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 11/5; 40/17; 11/5; 21/10; ; 9/4; 23/10; 23/10
Draw; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 27/11; 28/11; 5/2; 12/5; ; ; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 01:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 6/5; 6/5; 13/10; 5/4; 6/5; 13/10; 6/5; 13/10; 6/5; 13/10; 5/4; 6/5; ; 6/5; 6/5; 6/5
Liverpool; 12/5; 9/4; 43/20; 23/10; 9/4; 23/10; 23/10; 21/10; 2; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 9/4; 23/10; 40/17; 11/5; 9/4; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 5/2; 12/5; 12/5; 13/5; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 5/2; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 03:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 13/10; 6/5; 13/10; 6/5; 13/10; 5/4; 5/4; ; 6/5; 6/5; 6/5
Liverpool; 12/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; 21/10; 23/10; 9/4; 23/10; 9/4; 11/5; 9/4; 23/10; 40/17; 11/5; 11/5; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 04:15:03 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 13/10; 6/5; 13/10; ; 13/10; 5/4; 5/4; ; ; 6/5; 6/5
Liverpool; 12/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 9/4; 23/10; 9/4; 9/4; 9/4; 21/10; 23/10; 9/4; 23/10; 9/4; 11/5; 9/4; ; 40/17; 11/5; 11/5; ; ; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 28/11; 5/2; 5/2; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; ; 28/11; 5/2; 12/5; ; ; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 05:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 5/4; 13/10; 5/4; 13/10; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 13/10; 6/5; 13/10; 6/5; 13/10; 5/4; 5/4; ; 6/5; 6/5; 5/4
Liverpool; 12/5; 9/4; 11/5; 23/10; 9/4; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 11/5; 9/4; 23/10; 40/17; 11/5; 11/5; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 28/11; 5/2; 12/5; 12/5; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 5/2; 28/11; 5/2; 12/5; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 06:30:30 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 5/4; 13/10; 5/4; 5/4; ; 6/5; 6/5; 5/4; 5/4; 6/5; 13/10; 6/5; 13/10; 6/5; 13/10; 6/5; 5/4; ; ; 6/5; 5/4
Liverpool; 12/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 9/4; 23/10; 9/4; ; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 11/5; 9/4; 23/10; 40/17; 23/10; 11/5; ; ; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 28/11; 5/2; 5/2; ; 51/20; 5/2; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 27/11; 28/11; 5/2; 12/5; ; ; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 07:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 5/4; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; ; 6/5; 6/5; 5/4; 5/4; 6/5; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; ; ; 6/5; 5/4
Liverpool; 12/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; ; 9/4; 9/4; 23/10; 9/4; 40/17; 9/4; 11/5; 12/5; 23/10; 40/17; 23/10; 11/5; ; ; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 5/2; ; 51/20; 12/5; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 27/11; 28/11; 5/2; 12/5; ; ; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 08:15:04 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 5/4; 6/5; 5/4; 13/10; 6/5; 5/4; 5/4; 5/4; ; 5/4; 5/4; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 13/10; 6/5; ; 6/5; 13/10; 6/5; 5/4; ; ; 6/5; 5/4
Liverpool; 12/5; 9/4; 11/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; ; 23/10; 9/4; 9/4; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 11/5; ; 23/10; 40/17; 23/10; 11/5; ; ; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 5/2; 5/2; 12/5; 51/20; 12/5; 5/2; 12/5; 40/17; 28/11; 23/10; ; 27/11; 28/11; 5/2; 5/2; ; ; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 09:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; ; 5/4; 13/10; 13/10; 6/5; 6/5; 5/4; 5/4; 6/5; 13/10; 6/5; 6/5; 6/5; 13/10; 17/14; 6/5; ; ; 6/5; 5/4
Liverpool; 12/5; 11/5; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; ; 23/10; 11/5; 9/4; 9/4; 11/5; 23/10; 9/4; 40/17; 9/4; 11/5; 12/5; 23/10; 40/17; 23/10; 11/5; ; 23/10; 23/10; 12/5
Draw; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 5/2; 12/5; 12/5; 51/20; 12/5; 5/2; 12/5; 40/17; 28/11; 23/10; 5/2; 27/11; 28/11; 5/2; 5/2; ; ; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 12:15:03 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 6/5; 13/10; 6/5; 5/4; 6/5; 13/10; 16/13; 13/10; ; 6/5; 6/5; 5/4
