META; english/premier-league/man-utd-v-arsenal; 2016-10-25 20:18:13 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 6/4; 6/4; 8/5; 31/20; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; 17/11; 17/11; 11/7; 8/5; 6/4; 17/11; 29/18; 20/13; 11/7; 8/5; ; 8/5; 8/5; 13/8
Arsenal; 9/5; 9/5; 15/8; 15/8; 9/5; 39/20; 19/10; 17/10; 15/8; 15/8; 9/5; 7/4; 15/8; 19/10; 19/10; 7/4; 19/10; 2; 17/10; 2; 19/10; 2; 37/19; 2; 15/8; ; 9/5; 15/8; 19/10
Draw ; 23/10; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 23/10; 11/5; 23/10; 9/4; 40/17; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-17 04:16:39 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 6/4; 6/4; 8/5; 31/20; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; 17/11; 17/11; 11/7; 8/5; 6/4; 17/11; 29/18; 20/13; 11/7; 6/4; ; 8/5; 13/8; 13/8
Arsenal; 19/10; 9/5; 15/8; 15/8; 9/5; 39/20; 19/10; 17/10; 15/8; 15/8; 9/5; 7/4; 15/8; 19/10; 19/10; 7/4; 19/10; 2; 17/10; 2; 19/10; 2; 37/19; 2; 15/8; ; 15/8; 19/10; 19/10
Draw ; 23/10; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 21/10; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 23/10; 11/5; 23/10; 9/4; 40/17; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-17 08:16:39 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 6/4; 6/4; 8/5; 31/20; 8/5; 13/8; 6/4; 6/4; 29/20; 8/5; 6/4; 6/4; 6/4; 17/11; 17/11; 11/7; 8/5; 6/4; 17/11; 29/18; 20/13; 11/7; 6/4; ; 8/5; 13/8; 13/8
Arsenal; 19/10; 9/5; 15/8; 15/8; 9/5; 39/20; 19/10; 17/10; 15/8; 15/8; 15/8; 7/4; 15/8; 19/10; 19/10; 7/4; 19/10; 2; 17/10; 2; 19/10; 2; 37/19; 2; 15/8; ; 9/5; 15/8; 19/10
Draw ; 23/10; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 21/10; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 23/10; 11/5; 23/10; 9/4; 40/17; 9/4; 23/10; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-17 12:16:44 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 6/4; 6/4; 13/8; 31/20; 8/5; 13/8; 6/4; 7/5; 29/20; 8/5; 6/4; 6/4; 6/4; 17/11; 6/4; 8/5; 8/5; 8/5; 6/4; 29/18; 20/13; 8/5; 6/4; ; 6/4; 6/4; 13/8
Arsenal; 19/10; 9/5; 19/10; 15/8; 19/10; 39/20; 19/10; 17/10; 15/8; 19/10; 19/10; 7/4; 19/10; 19/10; 19/10; 7/4; 37/19; 37/19; 17/10; 19/10; 37/19; 2; 37/19; 37/19; 2; ; 19/10; 19/10; 19/10
Draw ; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 21/10; 23/10; 23/10; 47/20; 21/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 9/4; 40/17; 9/4; 40/17; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-17 16:16:51 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 7/5; 31/20; 6/4; 13/8; 31/20; 31/20; 13/8; 6/4; 8/5; 29/20; 8/5; 6/4; 6/4; 6/4; 17/11; 6/4; 8/5; 8/5; 8/5; 6/4; 29/18; 52/35; 8/5; 6/4; ; 6/4; 6/4; 8/5
Arsenal; 19/10; 19/10; 15/8; 15/8; 19/10; 39/20; 19/10; 17/10; 15/8; 19/10; 15/8; 7/4; 19/10; 19/10; 19/10; 7/4; 37/19; 37/19; 17/10; 19/10; 37/19; 2; 2; 37/19; 2; ; 19/10; 19/10; 2
Draw ; 23/10; 23/10; 47/20; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 9/4; 23/10; 23/10; 47/20; 21/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 9/4; 40/17; 9/4; 40/17; 11/5; ; 9/4; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-17 20:16:52 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 7/5; 13/8; 6/4; 13/8; 6/4; 31/20; 13/8; 6/4; 8/5; 29/20; 8/5; 6/4; 29/20; 6/4; 17/11; 6/4; 17/11; 16/11; 6/4; 6/4; 29/18; 22/15; 17/11; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 19/10; 19/10; 9/5; 2; 19/10; 2; 2; 17/10; 15/8; 19/10; 15/8; 7/4; 19/10; 2; 19/10; 15/8; 2; 2; 7/4; 2; 2; 2; 135/67; 2; 2; ; 19/10; 19/10; 2
Draw ; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 40/17; 23/10; 23/10; 9/4; 40/17; 9/4; 40/17; 11/5; ; 9/4; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 00:16:41 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 7/5; 13/8; 6/4; 13/8; 6/4; 31/20; 13/8; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 6/4; 17/11; 6/4; 17/11; 16/11; 6/4; 6/4; 29/18; 22/15; 17/11; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 19/10; 19/10; 9/5; 19/10; 19/10; 2; 2; 17/10; 15/8; 2; 2; 7/4; 39/20; 2; 19/10; 15/8; 37/19; 2; 7/4; 2; 37/19; 2; 135/67; 2; 2; ; 19/10; 19/10; 19/10
Draw ; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 40/17; 23/10; 23/10; 9/4; 40/17; 9/4; 40/17; 11/5; ; 9/4; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 04:16:46 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 7/5; 13/8; 6/4; 13/8; 6/4; 31/20; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 6/4; 6/4; 6/4; 6/4; 17/11; 16/11; 6/4; 6/4; 29/18; 22/15; 17/11; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 2; 19/10; 9/5; 19/10; 19/10; 2; 2; 17/10; 2; 2; 2; 7/4; 39/20; 2; 19/10; 15/8; 37/19; 2; 7/4; 2; 37/19; 2; 135/67; 2; 2; ; 19/10; 19/10; 19/10
Draw ; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 47/20; 21/10; 9/4; 23/10; 9/4; 40/17; 23/10; 23/10; 9/4; 40/17; 9/4; 40/17; 11/5; ; 9/4; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 08:16:42 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 13/8; 6/4; 13/8; 6/4; 31/20; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 29/20; 6/4; 17/11; 6/4; 17/11; 6/4; 6/4; 6/4; 29/18; 22/15; 17/11; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 2; 15/8; 9/5; 19/10; 19/10; 2; 2; 17/10; 2; 2; 2; 7/4; 39/20; 2; 19/10; 15/8; 37/19; 2; 9/5; 2; 37/19; 2; 135/67; 2; 2; ; 19/10; 19/10; 19/10
Draw ; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 47/20; 21/10; 9/4; 23/10; 9/4; 40/17; 12/5; 23/10; 9/4; 40/17; 9/4; 40/17; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 12:17:13 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 7/5; 33/20; 31/20; 13/8; 6/4; 31/20; 13/8; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 8/5; 6/4; 6/4; 17/11; 6/4; 6/4; 6/4; 29/18; 22/15; 17/11; 8/5; ; 6/4; 6/4; 13/8
Arsenal; 2; 19/10; 9/5; 2; 19/10; 2; 2; 17/10; 2; 2; 2; 7/4; 19/10; 19/10; 2; 19/10; 37/19; 2; 9/5; 2; 37/19; 2; 135/67; 2; 2; ; 19/10; 19/10; 2
Draw ; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 47/20; 21/10; 11/5; 23/10; 9/4; 40/17; 12/5; 23/10; 9/4; 40/17; 9/4; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 13:01:28 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 8/5; 7/5; 33/20; 31/20; 13/8; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 8/5; 17/11; 6/4; 17/11; 6/4; 6/4; 6/4; 27/17; 22/15; 17/11; 8/5; ; 6/4; 6/4; 13/8
Arsenal; 19/10; 19/10; 9/5; 2; 19/10; 39/20; 2; 17/10; 2; 2; 2; 7/4; 19/10; 19/10; 2; 19/10; 37/19; 2; 9/5; 2; 37/19; 2; 135/67; 2; 2; ; 19/10; 19/10; 2
Draw ; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 47/20; 21/10; 11/5; 23/10; 9/4; 40/17; 12/5; 23/10; 9/4; 19/8; 9/4; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 13:45:20 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 8/5; 7/5; 33/20; 31/20; 13/8; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 6/4; 8/5; 13/8; 8/5; 6/4; 17/11; 6/4; 6/4; 6/4; 27/17; 52/35; 17/11; 8/5; ; 6/4; 6/4; 13/8
Arsenal; 19/10; 19/10; 9/5; 2; 19/10; 39/20; 2; 17/10; 2; 2; 2; 7/4; 19/10; 19/10; 15/8; 19/10; 37/19; 2; 9/5; 2; 37/19; 2; 37/19; 2; 2; ; 19/10; 19/10; 19/10
Draw ; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 23/10; 47/20; 23/10; 9/4; 23/10; 9/4; 40/17; 12/5; 23/10; 9/4; 19/8; 23/10; 40/17; 9/4; ; 9/4; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 15:45:19 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 8/5; 7/5; 13/8; 8/5; 8/5; 6/4; 8/5; 13/8; ; 6/4; 7/5; 13/8; 6/4; 8/5; 13/8; 17/11; 17/11; 17/11; 6/4; 6/4; 17/11; 27/17; 52/35; 17/11; 8/5; ; 6/4; 6/4; 13/8
Arsenal; 19/10; 19/10; 9/5; 15/8; 19/10; 2; 2; 17/10; ; 2; 2; 2; 19/10; 19/10; 15/8; 2; 19/10; 2; 9/5; 2; 19/10; 2; 37/19; 2; 2; ; 19/10; 19/10; 19/10
Draw ; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; ; 23/10; 11/5; 21/10; 47/20; 23/10; 9/4; 9/4; 9/4; 40/17; 12/5; 23/10; 9/4; 19/8; 23/10; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 16:17:09 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 8/5; 7/5; 13/8; 8/5; 8/5; 6/4; 8/5; 13/8; ; 6/4; 7/5; 13/8; 6/4; 8/5; 13/8; 17/11; 17/11; 17/11; 6/4; 6/4; 17/11; 27/17; 52/35; 17/11; 8/5; ; 6/4; 6/4; 6/4
Arsenal; 19/10; 19/10; 9/5; 15/8; 19/10; 2; 2; 17/10; ; 2; 2; 2; 19/10; 19/10; 15/8; 2; 19/10; 2; 9/5; 2; 19/10; 2; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw ; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; ; 23/10; 11/5; 21/10; 47/20; 23/10; 9/4; 9/4; 9/4; 40/17; 12/5; 23/10; 9/4; 19/8; 23/10; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 17:45:19 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 8/5; 7/5; 13/8; 8/5; 8/5; 31/20; 8/5; 13/8; ; 6/4; 7/5; 13/8; 6/4; 8/5; 8/5; 17/11; 17/11; 17/11; 6/4; 6/4; 17/11; 27/17; 52/35; 17/11; 8/5; ; 6/4; 6/4; 13/8
Arsenal; 19/10; 19/10; 19/10; 15/8; 19/10; 39/20; 19/10; 17/10; ; 2; 2; 2; 19/10; 19/10; 15/8; 2; 19/10; 2; 9/5; 2; 37/19; 2; 37/19; 2; 2; ; 19/10; 19/10; 19/10
Draw ; 12/5; 23/10; 47/20; 12/5; 23/10; 23/10; 12/5; 12/5; ; 23/10; 11/5; 21/10; 47/20; 23/10; 23/10; 9/4; 9/4; 40/17; 12/5; 23/10; 9/4; 19/8; 23/10; 40/17; 23/10; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 18:33:09 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 8/5; 6/4; 13/8; 8/5; 8/5; 31/20; 8/5; 13/8; ; 6/4; 7/5; 13/8; 6/4; 8/5; 8/5; 17/11; 6/4; 17/11; 6/4; 6/4; 6/4; 27/17; 52/35; 17/11; 8/5; ; 6/4; 6/4; 13/8
Arsenal; 2; 9/5; 19/10; 15/8; 19/10; 39/20; 19/10; 17/10; ; 2; 2; 2; 19/10; 19/10; 15/8; 2; 19/10; 2; 9/5; 2; 19/10; 2; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw ; 9/4; 23/10; 47/20; 12/5; 23/10; 23/10; 12/5; 12/5; ; 23/10; 11/5; 21/10; 47/20; 23/10; 23/10; 9/4; 23/10; 40/17; 12/5; 23/10; 23/10; 19/8; 23/10; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 19:45:16 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 8/5; 8/5; 6/4; 8/5; 13/8; ; 6/4; 7/5; 8/5; ; 6/4; 8/5; 17/11; 16/11; 17/11; 6/4; 6/4; 16/11; 27/17; 52/35; 17/11; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 2; 9/5; 39/20; 15/8; 19/10; 2; 2; 17/10; ; 2; 2; 2; ; 2; 15/8; 2; 2; 2; 9/5; 2; 2; 2; 37/19; 2; 21/10; ; 19/10; 19/10; 2
Draw ; 23/10; 23/10; 47/20; 12/5; 23/10; 23/10; 23/10; 12/5; ; 23/10; 11/5; 21/10; ; 23/10; 23/10; 9/4; 23/10; 40/17; 12/5; 23/10; 23/10; 19/8; 23/10; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 20:17:13 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 8/5; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; ; 6/4; 8/5; 17/11; 16/11; 17/11; 6/4; 6/4; 16/11; 27/17; 52/35; 17/11; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 2; 9/5; 39/20; 15/8; 19/10; 2; 19/10; 17/10; 2; 2; 2; 2; ; 2; 15/8; 2; 2; 2; 9/5; 2; 2; 2; 37/19; 2; 2; ; 19/10; 19/10; 2
Draw ; 23/10; 23/10; 47/20; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 21/10; ; 23/10; 23/10; 9/4; 23/10; 40/17; 12/5; 23/10; 23/10; 19/8; 23/10; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 21:45:19 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 8/5; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; ; 6/4; 8/5; 17/11; 6/4; 6/4; 17/11; 6/4; 16/11; 27/17; 52/35; 6/4; 6/4; ; 6/4; 6/4; 8/5
Arsenal; 2; 9/5; 15/8; 15/8; 19/10; 2; 19/10; 17/10; 2; 2; 2; 2; ; 2; 15/8; 2; 24/13; 21/10; 24/13; 21/10; 2; 2; 37/19; 21/10; 2; ; 19/10; 19/10; 2
Draw ; 23/10; 23/10; 47/20; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 21/10; 47/20; 23/10; 23/10; 9/4; 40/17; 23/10; 9/4; 23/10; 23/10; 19/8; 23/10; 23/10; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-18 23:45:08 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 6/4; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 8/5; 8/5; 17/11; 6/4; 31/21; 17/11; 7/5; 16/11; 27/17; 52/35; 31/21; 6/4; ; 6/4; 6/4; 8/5
Arsenal; 2; 9/5; 15/8; 2; 19/10; 2; 2; 17/10; 2; 2; 2; 2; 39/20; 2; 15/8; 2; 24/13; 39/19; 24/13; 2; 2; 2; 2; 39/19; 2; ; 19/10; 19/10; 2
Draw ; 23/10; 23/10; 47/20; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 21/10; 47/20; 23/10; 23/10; 9/4; 40/17; 12/5; 9/4; 12/5; 23/10; 19/8; 9/4; 12/5; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 00:16:42 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 7/5; 8/5; 6/4; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 8/5; 8/5; 17/11; 6/4; 31/21; 17/11; 7/5; 16/11; 27/17; 52/35; 31/21; 6/4; ; 6/4; 6/4; 8/5
Arsenal; 2; 19/10; 15/8; 2; 19/10; 2; 2; 17/10; 2; 2; 2; 2; 39/20; 2; 15/8; 2; 24/13; 39/19; 24/13; 2; 2; 2; 27/14; 39/19; 2; ; 19/10; 19/10; 2
Draw ; 23/10; 12/5; 47/20; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 21/10; 47/20; 23/10; 23/10; 9/4; 40/17; 12/5; 9/4; 12/5; 23/10; 19/8; 9/4; 12/5; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 00:55:06 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 31/20; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 8/5; 8/5; 17/11; 6/4; 31/21; 17/11; 7/5; 16/11; 27/17; 52/35; 31/21; 6/4; ; 6/4; 6/4; 13/8
Arsenal; 2; 19/10; 15/8; 19/10; 19/10; 2; 2; 17/10; 2; 2; 2; 2; 39/20; 2; 15/8; 2; 19/10; 39/19; 24/13; 2; 2; 2; 27/14; 39/19; 21/10; ; 19/10; 19/10; 2
Draw ; 23/10; 12/5; 47/20; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 21/10; 47/20; 23/10; 23/10; 9/4; 40/17; 12/5; 9/4; 12/5; 23/10; 19/8; 13/6; 12/5; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 01:45:01 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 29/20; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 6/4; 8/5; 17/11; 6/4; 6/4; 17/11; 6/4; 16/11; 27/17; 52/35; 6/4; 6/4; ; 6/4; 6/4; 8/5
Arsenal; 2; 19/10; 15/8; 2; 19/10; 2; 2; 17/10; 2; 2; 2; 2; 39/20; 2; 15/8; 2; 19/10; 39/19; 24/13; 2; 2; 2; 2; 39/19; 21/10; ; 19/10; 19/10; 2
Draw ; 23/10; 12/5; 47/20; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 23/10; 9/4; 40/17; 26/11; 9/4; 23/10; 23/10; 19/8; 9/4; 26/11; 9/4; ; 11/5; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 03:45:02 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 29/20; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 29/20; 8/5; 17/11; 6/4; 6/4; 17/11; 6/4; 16/11; 27/17; 52/35; 6/4; 6/4; ; 6/4; 6/4; 8/5
Arsenal; 2; 19/10; 15/8; 19/10; 19/10; 41/20; 2; 17/10; 2; 2; 2; 2; 39/20; 2; 15/8; 2; 19/10; 39/19; 24/13; 2; 2; 2; 27/14; 39/19; 21/10; ; 19/10; 19/10; 2
Draw ; 23/10; 12/5; 47/20; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 23/10; 9/4; 40/17; 26/11; 9/4; 23/10; 23/10; 19/8; 13/6; 26/11; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 04:16:41 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 29/20; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 29/20; 29/20; 8/5; 17/11; 6/4; 6/4; 17/11; 6/4; 16/11; 27/17; 53/35; 6/4; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 2; 19/10; 15/8; 19/10; 19/10; 41/20; 2; 17/10; 2; 2; 2; 2; 39/20; 2; 15/8; 2; 19/10; 39/19; 24/13; 2; 39/19; 2; ; 39/19; 21/10; ; 19/10; 2; 2
Draw ; 23/10; 12/5; 47/20; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 23/10; 9/4; 23/10; 26/11; 9/4; 23/10; 9/4; 19/8; 13/6; 26/11; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 05:45:02 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 29/20; 8/5; 6/4; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 6/4; 29/20; 8/5; 17/11; 17/11; 6/4; 17/11; 6/4; 6/4; 27/17; 22/15; 6/4; 6/4; ; 6/4; 7/5; 8/5
Arsenal; 2; 19/10; 15/8; 19/10; 19/10; 2; 2; 17/10; 2; 2; 2; 2; 2; 2; 15/8; 2; 9/5; 39/19; 24/13; 2; 37/19; 2; 2; 39/19; 2; ; 19/10; 2; 2
Draw ; 23/10; 12/5; 47/20; 23/10; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 21/10; 11/5; 11/5; 23/10; 9/4; 23/10; 26/11; 9/4; 23/10; 9/4; 19/8; 23/10; 26/11; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 06:31:28 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 29/20; 8/5; ; 8/5; 13/8; 6/4; 6/4; 7/5; 8/5; 6/4; 29/20; 8/5; 17/11; 6/4; 6/4; 17/11; 6/4; 16/11; 27/17; 22/15; 6/4; 6/4; ; 6/4; 7/5; 8/5
Arsenal; 2; 19/10; 15/8; 19/10; 19/10; ; 2; 17/10; 2; 2; 2; 2; 2; 2; 15/8; 2; 19/10; 39/19; 24/13; 2; 2; 2; 2; 39/19; 21/10; ; 19/10; 2; 2
Draw ; 23/10; 12/5; 47/20; 23/10; 23/10; ; 23/10; 12/5; 23/10; 23/10; 11/5; 21/10; 11/5; 11/5; 23/10; 9/4; 40/17; 26/11; 9/4; 23/10; 9/4; 19/8; 23/10; 26/11; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 07:45:01 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 6/4; 8/5; 6/4; 31/20; 8/5; 6/4; 6/4; 7/5; 8/5; 6/4; 29/20; 8/5; 17/11; 6/4; 6/4; 17/11; 6/4; 16/11; 27/17; 52/35; 6/4; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 2; 19/10; 15/8; 2; 19/10; 41/20; 2; 7/4; 2; 2; 2; 2; 2; 2; 15/8; 2; 19/10; 39/19; 24/13; 2; 2; 2; 37/19; 39/19; 2; ; 19/10; 2; 2
Draw ; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 21/10; 11/5; 11/5; 23/10; 9/4; 40/17; 26/11; 9/4; 23/10; 9/4; 19/8; 23/10; 26/11; 23/10; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 08:16:46 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 8/5; 6/4; 8/5; 6/4; 31/20; 8/5; 6/4; 6/4; 7/5; 8/5; 6/4; 29/20; 8/5; 17/11; 6/4; 6/4; 17/11; 6/4; 16/11; 27/17; 52/35; 6/4; 6/4; ; 7/5; 6/4; 6/4
Arsenal; 2; 19/10; 15/8; 2; 19/10; 41/20; 2; 7/4; 2; 2; 2; 2; 2; 2; 15/8; 2; 19/10; 39/19; 24/13; 2; 2; 2; 37/19; 39/19; 2; ; 19/10; 2; 2
Draw ; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 21/10; 11/5; 11/5; 23/10; 9/4; 40/17; 26/11; 9/4; 23/10; 9/4; 19/8; 23/10; 26/11; 23/10; ; 9/4; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 09:45:01 GMT+2; 2016-11-19 12:30; e70300-dr003
