Hull; 11/8; 6/4; 16/11; 6/4; 77/50; 6/4; 6/4; 6/4; 19/12; 29/20; 29/20; 29/20; 17/10; 29/20; 6/4; 7/5; 16/11; 16/11; 16/11; 13/9; 17/11; 6/4; 31/20; 6/4; 16/11; ; 7/5; 6/4; 7/5
Sunderland; 2; 19/10; 2; 15/8; 21/10; 19/10; 2; 15/8; 19/10; 2; 19/10; 2; 33/20; 2; 2; 2; 37/19; 2; 37/19; 45/23; 24/13; 2; 2; 2; 39/19; ; 19/10; 2; 21/10
Draw; 11/5; 11/5; 21/10; 11/5; 57/25; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 43/20; 11/5; 11/5; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 21/10; 21/10
META; english/championship/sunderland-v-hull; 2018-01-19 02:21:37 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 7/5; 16/11; 6/4; 31/20; 6/4; 6/4; 6/4; 19/12; 29/20; 29/20; 29/20; 8/5; 29/20; 6/4; 7/5; 16/11; 16/11; 16/11; 6/4; 17/11; 6/4; 31/20; 6/4; 6/4; ; 7/5; 7/5; 7/5
Sunderland; 21/10; 2; 2; 15/8; 21/10; 19/10; 2; 15/8; 19/10; 2; 19/10; 2; 7/4; 2; 2; 2; 37/19; 2; 37/19; 2; 24/13; 2; 2; 2; 39/19; ; 19/10; 2; 21/10
Draw; 23/10; 9/4; 21/10; 11/5; 57/25; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; 43/20; 11/5; 11/5; 21/10; 28/13; 21/10; 28/13; 28/13; 11/5; 23/10; 21/10; 28/13; ; 11/5; 11/5; 21/10
META; english/championship/sunderland-v-hull; 2018-01-19 10:21:21 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 7/5; 16/11; 6/4; 31/20; 6/4; 6/4; 6/4; 19/12; 29/20; 29/20; 29/20; 8/5; 29/20; 6/4; 7/5; 16/11; 16/11; 16/11; 19/13; 17/11; 6/4; 31/20; 6/4; 6/4; ; 7/5; 7/5; 7/5
Sunderland; 21/10; 2; 2; 15/8; 21/10; 19/10; 2; 15/8; 19/10; 2; 19/10; 2; 7/4; 2; 2; 2; 37/19; 2; 37/19; 79/40; 24/13; 2; 2; 2; 39/19; ; 19/10; 2; 21/10
